20 de Julio;3,434934;-76,512716 

3 de Julio;3,433044;-76,539511 4 

Acueducto san antonio;3,445002;-76,543398 

Agua Blanca;3,432728;-76,517941 

Aguacatal;3,458548;-76,557337 

Alameda;3,432790;-76,534586 

Alferez Real;3,390515;-76,548486 

Alfonso Barberena A,;3,435550;-76,507797 

Alfonso Bonilla Aragón;3,419204;-76,482999 

Alfonso Lopez I;3,464425;-76,479933

Alfonso Lopez II;3,458982;-76,480952

Alfonso Lopez III;3,454725;-76,481947

Alirio Mora Beltran;3,438105;-76,478779

Alto Napoles;3,384598;-76,555225 

Altos de Menga;3,490862;-76,533374 

Antonio Nariño;3,414453;-76,506004 

Aranjuez;3,435995;-76,523061 

Atanasio Girardot;3,444402;-76,508070 

Belalcazar;3,441676;-76,521170 

Belen;3,426538;-76,553419 

Belisario Caicedo;3,413734;-76,556822 

Bellavista;3,444530;-76,552477 

Benjamin Herrera;3,447576;-76,516356 

Bolivariano;3,467895;-76,514140 

Bosques del Limonar;3,400258;-76,534641 

Bretana;3,439971;-76,531937 

Brisas de los Alamos;3,492436;-76,504963 

Brisas de Mayo;3,416825;-76,562125 

Brisas de Mayo;3,416825;-76,562125 

Brisas del Limonar;3,401428;-76,522114 

Buenos Aires;3,392834;-76,549140 

Caldas;3,395029;-76,549215 

Calimio Desepaz;3,414629;-76,468118 

Calypso;3,425338;-76,499098 

Camino Real J Borrero;3,408104;-76,544084 

Caney;3,384116;-76,518128 

Cañaverales Los Samanes;3,402307;-76,525274 

Chapinero;3,444542;-76,501652 

Charco Azul;3,441627;-76,485867 

Chiminangos I;3,476888;-76,490394 

Ciudad 2000;3,393341;-76,518807 

Ciudad Capri;3,389573;-76,541732 

Ciudad Cordoba;3,403510;-76,505819 

Ciudad De Los Alamos;3,486253;-76,508900

Ciudad Talanga;3,433492;-76,469666

Ciudad Comfandi;3,384898;-76,522200

Ciudadela Del Rio;3,424695;-76,465102

Ciudadela Foralia;3,495480;-76,493679

Compartir;3,431436;-76,465539

Cristobal Colon;3,420781;-76,524390

Departamental;3,415314;-76,535895

Desepaz Invicali;3,425218;-76,463453

El Diamante;3,421356;-76,502440

Eduardo Santos;3,429287;-76,505049

El Bosque;3,485343;-76,529690

El Calvario;3,450062;-76,530165

El Cedro;3,432841;-76,537472

El Cortijo;3,416230;-76,559253

El Dorado;3,420597;-76,529096

El Guabal;3,415592;-76,527259

El Ingenio;3,382863;-76,530579

El Jardin;3,425280;-76,517296

El Jordan;3,375653;-76,551607

El Lido;3,419357;-76,550889

El Limonar;3,403234;-76,529530

El Mortinal;3,442302;-76,550256

El Paraiso;3,431844;-76,507255

El Peñon;3,450050;-76,541654

El Poblado I;3,418591;-76,497304

El Poblado II;3,420518;-76,490294

El Prado;3,434855;-76,516719

El Refugio;3,398175;-76,550254

El Remanso;3,417611;-76,464498

El Retiro;3,410135;-76,498649

El Rodeo;3,435275;-76,505261

El Trebol;3,443111;-76,496185

El Vergel;3,416242;-76,499366

Evaristo Garcia;3,475696;-76,506551

Fepicol;3,462550;-76,485603

Flora Industrial;3,480791;-76,504095

Fonaviemcali;3,484484;-76,489071

Francisco Eladio Ramirez;3,388367;-76,548667

Granada;3,459389;-76,534157

Guayaquil;3,439507;-76,527366

Guillermo Valencia;3,472716;-76,510639

Industrial;3,452067;-76,515065

Jorge Eliecer Gaitan;3,469975;-76,481881

Jorge Isaacs;3,457521;-76,518146

Jose Holguin Garces;3,408674;-76,521257

Jose Manuel Marroquin II;3,424188;-76,480197

Jose Maria Cordoba;3,422615;-76,510433

Julio Rincon;3,426752;-76,501595

Junin;3,433949; -76,528285

La Base;3,449052; -76,495577

La Campiña;3,481070;-76,527083

La Floresta;3,444495;-76,512579

La Fortaleza;3,426305;-76,512650

La Gran Colombia;3,421793;-76,506826

La Hacienda;3,395960;-76,530130

La Independencia;3,416122;-76,519405

La Isla;3,472899;-76,513617

La Merced;3,449622;-76,535960

La Rivera I;3,474330;-76,485968

La Sultana;3,422230;-76,564223

Las Acacias;3,433618;-76,521086

Las Americas;3,447855;-76,506142

Las Ceibas;3,455491;-76,488053

Las Orquideas;3,414002;-76,476462

Las Quintas de Don Simon;3,389805;-76,535568

Laureano Gomez;3,411589;-76,495584

Leon XIII;3,426086;-76,509373

Lili;3,373084;-76,520538

Lleras Camargo;3,419737;-76,561475

Los Alcazares;3,487142;-76,492217

Los Andes B - La Rivera;3,469015;-76,495111

Los Andes;3,470869;-76,499552

Los Chorros; 3,394176;-76,554941

Los Comuneros I; 3,412106;-76,492926

Los Comuneros II; 3,425086;-76,493322

Los Conquistadores; 3,425412;-76,506958

Los Guayacanes; 3,472111;-76,489796

Los Lagos; 3,429513;-76,486231

Los Lideres; 3,419015;-76,466129

Los Naranjos I; 3,433352;-76,481213

Los Naranjos II; 3,433191;-76,476711

Los Pinos; 3,458298;-76,485140

Los Robles; 3,421665;-76,495285

Los Sauces; 3,417327;-76,513887

Los Sauces; 3,417327;-76,513887

Manuela Beltran; 3,420749;-76,471839

Mario Correa Rengifo; 3,387750;-76,557526

Marroquin III; 3,432771;-76,485668

Melendez; 3,378278;-76,545090

Metropolitano del Norte; 3,481907;-76,491326

Mojica; 3,415567;-76,488061

Morichal de Comafandi; 3,397881;-76,504315

Napoles; 3,386337;-76,548478

Normandia; 3,452966;-76,544361

Nueva Floresta; 3,438552;-76,495443

Nueva Tequendama; 3,413199;-76,543679

Obrero; 3,447927;-76,520675

Olaya Herrera; 3,477604;-76,508786

Omar Torrijos; 3,424882;-76,486684

Parcelaciones Pance; 3,343053;-76,534628

Paso del Comercio; 3,493976;-76,487356

Petecuy I; 3,474376;-76,479998

Petecuy II; 3,479988;-76,481908

Petecuy III; 3,476986;-76,480940

Pizamos I; 3,402237;-76,474805

Pizamos II; 3,404193;-76,472057

Pizamos III; 3,408410;-76,475447

Polvoines; 3,371152;-76,554855

Porvenir; 3,459261;-76,514159

Potrero Grande; 3,407565;-76,469994

Prados del Limonar; 3,390547;-76,528369

Prados del Norte; 3,470821;-76,520365

Prados del Oriente; 3,433009;-76,514355

Prados del Sur; 3,388673;-76,555041

Primavera; 3,422518;-76,509166

Primero de Mayo; 3,406430;-76,533546

Primitivo Crespo; 3,438239;-76,516750

Promociones Populares; 3,425742;-76,472626

Puertas del Sol; 3,432305;-76,473498

Puerto Mallarino; 3,450388;-76,483303

Puerto Nuevo; 3,453226;-76,476565

Republica Israel; 3,407480;-76,513013

Rodrigo Lara Bonilla; 3,427940;-76,488922

Saavedra Galindo; 3,441418;-76,514829

Salomia; 3,464171;-76,505023

San Benito; 3,428669;-76,509808

San Fernando Nuevo; 3,426564;-76,543969

San Juan Bosco; 3,444364;-76,532202

San Judas Tadeo I; 3,408727;-76,524603

San Judas Tadeo II; 3,414575;-76,523273

San Luis; 3,480577;-76,486661

San Luis II; 3,488933;-76,488506

San Marino; 3,460021;-76,487659

San Nicolas; 3,455046;-76,524512

San Pascual; 3,445732;-76,528466

San Pedro Claver; 3,427923;-76,502170

San Vicente; 3,465737;-76,527496

Santa Anita; 3,400347;-76,534801

Santa Elena; 3,428647;-76,524472

Santa Fe; 3,440639;-76,505777

Santa Isabel; 3,428124;-76,548158

Santa Monica Popular; 3,437100;-76,510254

Santo Rosa; 3,446704;-76,534058

Santo Domingo; 3,412185;-76,532199

Sector Altos de Normandia; 3,458964;-76,535662

Sector Melendez; 3,376222;-76,546052

Siete de Agosto; 3,447490;-76,485184

Siloe; 3,420827;-76,557334

Simon Bolivar; 3,442631;-76,517776

Sindical; 3,430688;-76,500405

Sucre; 3,447046;-76,524582

Tejares Cristales; 3,442965;-76,550673

Terron Colorado; 3,454452;-76,552903

Tierra Blanca; 3,418967;-76,558518

Ulpiano Lloreda; 3,441585;-76,489890

Unidad Bueno Madrid; 3,467579;-76,515931

Union de Vivienda Popular; 3,410735;-76,509744

Urbanizacion Ciudad Jardin; 3,364483;-76,535931

Urbanizacion Santa Elena; 3,422950;-76,523434

Urbanizacion Calimio; 3,487752;-76,484789

Villamercedes I - Villa Luz - Las Garzas; 3,409208;-76,478278

Vallado; 3,407410;-76,499949

Valle Grande; 3,436904;-76,470256

Venezuela - Urbanización Canaveralejo; 3,414711;-76,558795

Versalles; 3,461793;-76,528651

Villablanca; 3,428745;-76,495533

Villa del Lago; 3,438310;-76,488211

Villa del Prado - El Guabito; 3,465772;-76,490872

Villa del Sur; 3,411610;-76,519438

Villa San Marcos; 3,426737;-76,474439

Villacolombia; 3,449242;-76,499707

Villanueva; 3,429785;-76,509218

Vista Hermosa; 3,453242;-76,570631

Yira Castro; 3,426641;-76,497943