0;Estación Terrón Colorado";47;5
1;Subestación Montebello";15;22
2;Estación la Flora";40;44
3;Estación la Flora";34;53
4;Estación la Flora";27;46
5;Estación la Flora";18;65
6;Estación la Flora";21;57
7;Estación la Flora";49;18
8;Estación Fray Damian";55;46
9;Estación Fray Damián";52;33
10;Estación Fray Damián";56;36
11;Estación San Francisco";28;83
12;Estación Junín";67;45
13;Estación Junín";50;53
14;Estación la Rivera";24;84
15;Estación la Rivera";14;80
16;Estación la Rivera";28;71
17;Estación Floralia";5;80
18;Estación Floralia";26;67
19;Estación Floralia";30;90
20;Estación Alfonso López";35;97
21;Estación Alfonso López";36;89
22;Estación Municipal";53;68
23;Estación Agua Blanca";67;56
24;Estación Agua Blanca";84;62
25;Estación Nueva Floresta";52;71
26;Estación Guabal";87;47
27;Estación Caney";113;58
28;Estación Caney";91;28
29;Estación Caney";48;50
30;Estación Meléndez";124;27
31;Subestación Buitrera";111;25
32;Estación Lido";83;21
33;Subestación Pichindé";126;42
34;Subestación Pichindé";51;30
35;Subestación Pichindé";68;31
36;Subestación Pichindé";90;19
37;Subestación Pichindé";61;31
38;Estación Sultana";77;10
39;Estación Sultana";82;15
40;Estación Diamante";83;76
41;Estación Diamante";75;81
42;Estación Diamante";59;90
43;Estación Los Mangos";73;90
44;Estación Mangos";72;106
45;Estación Mangos";86;95
46;Estación Mangos";68;100
47;Estación Vallado";93;72
48;Estación Vallado";84;86
49;Estación Mariano Ramos";98;59
50;Estación Desepaz";74;109
51;Estación Desepaz";90;104
52;Estación Desepaz";97;101
53;Estación Yumbo";51;37
54;Subestación Dapa";4;52
55;Subestación Dapa";59;43
56;Subestación Dapa";0;0
57;Subestación Dapa";0;0
58;Estación Vijes";50;37
59;Estación La Cumbre";51;35
60;Subestación Pavas";46;69
61;Estación Jamundí";51;49
62;Estación La María";0;23
63;Estación Candelaria";50;40
64;Subestación Cabuyal";51;38
65;Subestación Carmelo";52;46
66;Subestación San Joaquín";75;32
67;Subestación Villa Gorgona";53;44
68;Subestación Juanchito";49;100